,index,protocol,measuredDate,createDate,updateDate,publishDate,organizationId,organizationName,siteId,siteName,countryName,countryCode,latitude,longitude,elevation,pid,mosquitohabitatmapperBreedingGroundEliminated,mosquitohabitatmapperExtraData,mosquitohabitatmapperAbdomenCloseupPhotoUrls,mosquitohabitatmapperMeasuredAt,mosquitohabitatmapperMeasurementElevation,mosquitohabitatmapperUserid,mosquitohabitatmapperLarvaeCount,mosquitohabitatmapperMosquitoEggs,mosquitohabitatmapperMosquitoEggCount,mosquitohabitatmapperGenus,mosquitohabitatmapperWaterSource,mosquitohabitatmapperMosquitoAdults,mosquitohabitatmapperSpecies,mosquitohabitatmapperComments,mosquitohabitatmapperMosquitoPupae,mosquitohabitatmapperWaterSourcePhotoUrls,mosquitohabitatmapperDataSource,mosquitohabitatmapperLarvaFullBodyPhotoUrls,mosquitohabitatmapperMeasurementLatitude,mosquitohabitatmapperLastIdentifyStage,mosquitohabitatmapperWaterSourceType,mosquitohabitatmapperMosquitoHabitatMapperId,mosquitohabitatmapperMeasurementLongitude
469,1428,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:11:00,0,46936061,,,,,pond,,,,,rejected,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,3856,99.8984
473,1432,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:41:00,0,46931401,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816531/original.jpg; https://data.globe.gov/system/photos/2018/08/17/816532/original.jpg,GLOBE Observer App,,8.6436,,still: lake/pond/swamp,3858,99.8985
475,1434,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:54:00,0,46928389,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816619/original.jpg,GLOBE Observer App,,8.6436,identify,still: lake/pond/swamp,3877,99.8983
476,1435,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,True,,,2018-08-17T04:08:00,0,46934747,,,,,pond,,,,,rejected,GLOBE Observer App,,8.6436,,still: lake/pond/swamp,3855,99.8985
481,1440,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:44:00,0,46929716,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/820405/original.jpg,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,4044,99.8981
482,1441,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:46:00,0,46929726,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816533/original.jpg,GLOBE Observer App,,8.6431,,still: lake/pond/swamp,3859,99.8983
483,1442,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:51:00,0,46933378,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816588/original.jpg,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,3870,99.8982
485,1444,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:48:00,0,46931401,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816580/original.jpg; https://data.globe.gov/system/photos/2018/08/17/816581/original.jpg,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,3869,99.8982
486,1445,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:52:00,0,47020023,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816603/original.jpg,GLOBE Observer App,,8.6437,,still: lake/pond/swamp,3873,99.8983
494,1453,mosquito_habitat_mapper,2018-08-17,2020-01-25T18:02:43,2020-01-25T18:02:43,2020-02-14T20:29:11,17615655.0,Thailand Citizen Science,97680,47PNK988555,,,8.643,99.897986,15.8,159352138,False,,,2018-08-17T04:43:00,0,46928355,,,,,pond,,,,,https://data.globe.gov/system/photos/2018/08/17/816537/original.jpg,GLOBE Observer App,,8.6433,,still: lake/pond/swamp,3865,99.8984
